,playerID,G,G_batting,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,G_old,post_G,post_AB,post_R,post_H,post_2B,post_3B,post_HR,post_RBI,post_SB,post_CS,post_BB,post_SO,post_IBB,post_HBP,post_SH,post_SF,post_GIDP,fielding_G,fielding_GS,InnOuts,PO,A,E,DP,PB,fielding_WP,fielding_SB,fielding_CS,ZR,fielding_post_G,fielding_post_GS,post_InnOuts,post_PO,post_A,post_E,post_DP,post_TP,post_PB,fielding_post_SB,fielding_post_CS,inducted,seasons_played
3381,clarede01,2.0,0.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,3.0,2.0,51.0,1.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1.0
3382,claredo01,9.0,0.0,4.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,7.0,0.0,34.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1.0
3383,clarkal01,358.0,0.0,1021.0,131.0,267.0,48.0,4.0,32.0,149.0,2.0,5.0,72.0,70.0,0.0,3.0,11.0,0.0,49.0,0.0,4.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,262.0,0.0,0.0,434.0,38.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,30.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7.0
3384,clarkar01,149.0,0.0,569.0,72.0,122.0,14.0,10.0,0.0,70.0,49.0,0.0,47.0,54.0,0.0,4.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,150.0,0.0,3636.0,483.0,196.0,81.0,18.0,51.0,0.0,156.0,109.0,0.0,,,,,,,,,,,,,2.0
3385,clarkbi01,53.0,0.0,25.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,51.0,0.0,0.0,5.0,37.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,3.0
3386,clarkbo01,288.0,0.0,1011.0,145.0,233.0,25.0,11.0,1.0,107.0,71.0,0.0,85.0,48.0,0.0,9.0,0.0,0.0,0.0,0.0,5.0,15.0,5.0,7.0,2.0,1.0,0.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,290.0,0.0,7281.0,1158.0,387.0,245.0,35.0,183.0,0.0,135.0,59.0,0.0,,,,,,,,,,,,,7.0
3387,clarkbo02,950.0,0.0,3346.0,394.0,858.0,110.0,32.0,20.0,429.0,54.0,0.0,176.0,218.0,0.0,85.0,60.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,932.0,89.0,23298.0,4374.0,883.0,230.0,165.0,128.0,0.0,966.0,706.0,0.0,,,,,,,,,,,,,13.0
3388,clarkbo03,16.0,0.0,13.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,16.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2.0
3389,clarkbo04,396.0,0.0,967.0,97.0,231.0,34.0,7.0,19.0,100.0,4.0,8.0,55.0,199.0,0.0,3.0,9.0,4.0,32.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,388.0,247.0,7239.0,708.0,18.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,33.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7.0
3390,clarkbr01,187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,186.0,37.0,1549.0,26.0,110.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,8.0
