,count,mean,std,min,25%,50%,75%,max
MLB Players Choice Outstanding Player,3346.0,0.010161386730424387,0.16002103080314822,0.0,0.0,0.0,0.0,6.0
MLB Players Choice Outstanding Rookie,3346.0,0.005977286312014346,0.07709302569616429,0.0,0.0,0.0,0.0,1.0
MLB Players Choice Player of the Year,3346.0,0.0026897788404064557,0.06228290724795609,0.0,0.0,0.0,0.0,2.0
MLB Players Curt Flood Award,3346.0,0.001195457262402869,0.034559877074768874,0.0,0.0,0.0,0.0,1.0
Majestic Athletic Always Game Award,3346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Most Valuable Player,3346.0,0.05289898386132696,0.29729064551257084,0.0,0.0,0.0,0.0,7.0
NLCS MVP,3346.0,0.00986252241482367,0.10181394673114212,0.0,0.0,0.0,0.0,2.0
Outstanding DH Award,3346.0,0.012851165570830842,0.20196893298109725,0.0,0.0,0.0,0.0,8.0
Pitcher of the Month,3346.0,0.1087866108786611,0.5980540625861802,0.0,0.0,0.0,0.0,15.0
Pitching Triple Crown,3346.0,0.010460251046025104,0.13463552217230637,0.0,0.0,0.0,0.0,3.0
Platinum Glove,3346.0,0.0005977286312014345,0.03457538520975391,0.0,0.0,0.0,0.0,2.0
Player of the Month,3346.0,0.13090257023311416,0.6494023178852285,0.0,0.0,0.0,0.0,13.0
Player of the Week,3346.0,0.5932456664674238,1.511234199190133,0.0,0.0,0.0,0.0,16.0
Reliever of the Month,3346.0,0.010460251046025104,0.15332282853473617,0.0,0.0,0.0,0.0,4.0
Reliever of the Year,3346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reliever of the Year Award,3346.0,0.020023909145248056,0.21571891006035798,0.0,0.0,0.0,0.0,5.0
Roberto Clemente Award,3346.0,0.01315002988643156,0.11393413076844112,0.0,0.0,0.0,0.0,1.0
Rookie of the Month,3346.0,0.013747758517632994,0.1460671294657712,0.0,0.0,0.0,0.0,4.0
Rookie of the Year,3346.0,0.027196652719665274,0.16268037440329777,0.0,0.0,0.0,0.0,1.0
SIlver Slugger,3346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Silver Slugger,3346.0,0.17065152420800955,0.8083195914589665,0.0,0.0,0.0,0.0,12.0
TSN All-Star,3346.0,0.39181111775254035,1.1662077625700964,0.0,0.0,0.0,0.0,13.0
TSN Comeback Player of the Year,3346.0,0.028093245666467422,0.17578288254525778,0.0,0.0,0.0,0.0,2.0
TSN Fireman of the Year,3346.0,0.023610280932456665,0.2288169272371145,0.0,0.0,0.0,0.0,5.0
TSN Guide MVP,3346.0,0.009563658099222952,0.12431451859649732,0.0,0.0,0.0,0.0,3.0
TSN Major League Player of the Year,3346.0,0.021518230723251645,0.18171306360627912,0.0,0.0,0.0,0.0,5.0
TSN Pitcher of the Year,3346.0,0.03765690376569038,0.2707765669614027,0.0,0.0,0.0,0.0,5.0
TSN Player of the Year,3346.0,0.026001195457262403,0.19618018623047148,0.0,0.0,0.0,0.0,3.0
TSN Reliever of the Year,3346.0,0.005379557680812911,0.08799913024734166,0.0,0.0,0.0,0.0,3.0
TSN Rookie Pitcher of the Year,3346.0,0.016138673042438732,0.12602762842239112,0.0,0.0,0.0,0.0,1.0
TSN Rookie Player of the Year,3346.0,0.019426180514046622,0.1380380336516196,0.0,0.0,0.0,0.0,1.0
TSN Rookie of the Year,3346.0,0.008965929468021518,0.09427723978771779,0.0,0.0,0.0,0.0,1.0
This Year in Baseball Best Bounceback Player,3346.0,0.00029886431560071725,0.017287692604876954,0.0,0.0,0.0,0.0,1.0
This Year in Baseball Best Breakout Player,3346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
This Year in Baseball Best Defensive Player,3346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
This Year in Baseball Best Major Leaguer,3346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
This Year in Baseball Best Major Leaguer - Postseason,3346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
This Year in Baseball Best Moment,3346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
This Year in Baseball Best Performance,3346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
This Year in Baseball Best Pitcher,3346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
This Year in Baseball Best Play - Defense,3346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
This Year in Baseball Best Play - Offense,3346.0,0.0005977286312014345,0.034575385209753916,0.0,0.0,0.0,0.0,2.0
This Year in Baseball Best Player,3346.0,0.00029886431560071725,0.017287692604876954,0.0,0.0,0.0,0.0,1.0
This Year in Baseball Best Rookie,3346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
This Year in Baseball Best Social Media Personality,3346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
This Year in Baseball Breakout Hitter of the Year,3346.0,0.00029886431560071725,0.017287692604876958,0.0,0.0,0.0,0.0,1.0
This Year in Baseball Breakout Pitcher of the Year,3346.0,0.00029886431560071725,0.017287692604876958,0.0,0.0,0.0,0.0,1.0
This Year in Baseball Breakout Player of the Year,3346.0,0.00029886431560071725,0.017287692604876954,0.0,0.0,0.0,0.0,1.0
This Year in Baseball Closer of the Year,3346.0,0.0026897788404064557,0.0791883187895563,0.0,0.0,0.0,0.0,4.0
This Year in Baseball Defensive Player of the Year,3346.0,0.002390914524805738,0.05462433926921561,0.0,0.0,0.0,0.0,2.0
This Year in Baseball Dependable Player of the Year,3346.0,0.00029886431560071725,0.017287692604876958,0.0,0.0,0.0,0.0,1.0
This Year in Baseball Hitter of the Year,3346.0,0.0017931858936043037,0.05464723364347381,0.0,0.0,0.0,0.0,2.0
This Year in Baseball Hitting Performance of the Year,3346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
This Year in Baseball Moment of the Year,3346.0,0.0014943215780035865,0.057325880886950766,0.0,0.0,0.0,0.0,3.0
This Year in Baseball Oddity of the Year,3346.0,0.0020920502092050207,0.04569789549613804,0.0,0.0,0.0,0.0,1.0
This Year in Baseball Performance of the Year,3346.0,0.0017931858936043037,0.042314365127636845,0.0,0.0,0.0,0.0,1.0
This Year in Baseball Pitching Performance of the Year,3346.0,0.0005977286312014345,0.024444834588070858,0.0,0.0,0.0,0.0,1.0
This Year in Baseball Play of the Year,3346.0,0.0026897788404064557,0.05180102206065102,0.0,0.0,0.0,0.0,1.0
This Year in Baseball Player of the Year,3346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
This Year in Baseball Postseason MVP,3346.0,0.0008965929468021519,0.029934208980901517,0.0,0.0,0.0,0.0,1.0
This Year in Baseball Postseason Moment of the Year,3346.0,0.0020920502092050207,0.04569789549613804,0.0,0.0,0.0,0.0,1.0
This Year in Baseball Rookie of the Year,3346.0,0.001195457262402869,0.034559877074768874,0.0,0.0,0.0,0.0,1.0
This Year in Baseball Setup Man of the Year,3346.0,0.0014943215780035865,0.03863333594670148,0.0,0.0,0.0,0.0,1.0
This Year in Baseball Starter of the Year,3346.0,0.0017931858936043037,0.042314365127636845,0.0,0.0,0.0,0.0,1.0
This Year in Baseball X-Factor Player of the Year,3346.0,0.00029886431560071725,0.017287692604876958,0.0,0.0,0.0,0.0,1.0
Triple Crown,3346.0,0.004781829049611476,0.07717642463049357,0.0,0.0,0.0,0.0,2.0
World Series MVP,3346.0,0.018230723251643755,0.14034755692892983,0.0,0.0,0.0,0.0,2.0
retired_five,3346.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
hof_eligibility,3346.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
