,count,mean,std,min,25%,50%,75%,max
ALCS MVP,20985.0,0.0020967357636406956,0.0467733886615588,0.0,0.0,0.0,0.0,2.0
All-MLB Team - First Team,20985.0,0.008386943054562782,0.17552870654540229,0.0,0.0,0.0,0.0,9.0
All-MLB Team - Second Team,20985.0,0.008386943054562782,0.1571955508096761,0.0,0.0,0.0,0.0,7.0
All-Star Game MVP,20985.0,0.003002144388849178,0.058905243580582585,0.0,0.0,0.0,0.0,2.0
Babe Ruth Award,20985.0,0.003716940671908506,0.0631603802748642,0.0,0.0,0.0,0.0,2.0
Baseball Magazine All-Star,20985.0,0.07243269001667858,0.8125933569397406,0.0,0.0,0.0,0.0,29.0
Bob Feller Act of Valor Award - HOF Player,20985.0,0.0005718370264474624,0.02390684555471075,0.0,0.0,0.0,0.0,1.0
Bob Feller Act of Valor Award - MLB Player,20985.0,0.0005718370264474624,0.02390684555471075,0.0,0.0,0.0,0.0,1.0
Bob Feller Act of Valor Award - Patriot Award,20985.0,4.765308553728854e-05,0.006903121434343201,0.0,0.0,0.0,0.0,1.0
Branch Rickey Award,20985.0,0.0010483678818203478,0.03236230391324149,0.0,0.0,0.0,0.0,1.0
Comeback Player of the Year,20985.0,0.0018108172504169644,0.04470174220349413,0.0,0.0,0.0,0.0,2.0
Cy Young Award,20985.0,0.006099594948772933,0.11493903716707837,0.0,0.0,0.0,0.0,7.0
Gold Glove,20985.0,0.058327376697641174,0.564155484878989,0.0,0.0,0.0,0.0,18.0
Hank Aaron Award,20985.0,0.002477960447939004,0.0675927040423684,0.0,0.0,0.0,0.0,4.0
Hutch Award,20985.0,0.0026209197045508697,0.05112900407753718,0.0,0.0,0.0,0.0,1.0
Lou Gehrig Memorial Award,20985.0,0.0033357159876101976,0.057660622793492614,0.0,0.0,0.0,0.0,1.0
MLB Players Choice Comeback Player,20985.0,0.0027162258756254468,0.054725763790988945,0.0,0.0,0.0,0.0,2.0
MLB Players Choice Man of the Year,20985.0,0.0013342863950440791,0.04780875134484682,0.0,0.0,0.0,0.0,4.0
MLB Players Choice Outstanding Pitcher,20985.0,0.003002144388849178,0.07650225842673589,0.0,0.0,0.0,0.0,4.0
MLB Players Choice Outstanding Player,20985.0,0.0031451036454610438,0.0833534036205457,0.0,0.0,0.0,0.0,6.0
MLB Players Choice Outstanding Rookie,20985.0,0.0029544913033118896,0.05427617033102338,0.0,0.0,0.0,0.0,1.0
MLB Players Choice Player of the Year,20985.0,0.0012866333095067906,0.04524958368544221,0.0,0.0,0.0,0.0,3.0
MLB Players Curt Flood Award,20985.0,0.0002382654276864427,0.015434377512257718,0.0,0.0,0.0,0.0,1.0
Majestic Athletic Always Game Award,20985.0,0.0001429592566118656,0.015435554540972332,0.0,0.0,0.0,0.0,2.0
Most Valuable Player,20985.0,0.010007147962830594,0.13096217490774645,0.0,0.0,0.0,0.0,7.0
NLCS MVP,20985.0,0.002382654276864427,0.0497232463148069,0.0,0.0,0.0,0.0,2.0
Outstanding DH Award,20985.0,0.0024303073624017154,0.08701318866770427,0.0,0.0,0.0,0.0,8.0
Pitcher of the Month,20985.0,0.026876340243030736,0.2924616609202341,0.0,0.0,0.0,0.0,15.0
Pitching Triple Crown,20985.0,0.001858470335954253,0.0556250311770455,0.0,0.0,0.0,0.0,3.0
Platinum Glove,20985.0,0.0013342863950440791,0.06016665759447876,0.0,0.0,0.0,0.0,6.0
Player of the Month,20985.0,0.02897307600667143,0.30705148161379214,0.0,0.0,0.0,0.0,13.0
Player of the Week,20985.0,0.13685966166309269,0.7502998209873163,0.0,0.0,0.0,0.0,16.0
Reliever of the Month,20985.0,0.006766738146294972,0.14464634774542248,0.0,0.0,0.0,0.0,8.0
Reliever of the Year,20985.0,9.530617107457708e-05,0.009762255334963405,0.0,0.0,0.0,0.0,1.0
Reliever of the Year Award,20985.0,0.0044793900405051225,0.09849683663410172,0.0,0.0,0.0,0.0,5.0
