,playerID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,post_W,post_L,post_G,post_GS,post_CG,post_SHO,post_SV,post_IPouts,post_H,post_ER,post_HR,post_BB,post_SO,post_BAOpp,post_ERA,post_IBB,post_WP,post_HBP,post_BK,post_BFP,post_GF,post_R,post_SH,post_SF,post_GIDP,fielding_G,fielding_GS,InnOuts,PO,A,E,DP,PB,fielding_WP,fielding_SB,fielding_CS,ZR,fielding_post_G,fielding_post_GS,post_InnOuts,post_PO,post_A,post_E,post_DP,post_TP,post_PB,fielding_post_SB,fielding_post_CS,inducted,seasons_played
20213,wilkiro01,12.0,31.0,79.0,36.0,20.0,1.0,6.0,1142.0,466.0,197.0,11.0,142.0,88.0,1.27,20.0,0.0,4.0,7.0,0.0,1668.0,36.0,234.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,22.0,9.0,3.0,0.0,4.0,3.0,0.346,3.68,0.0,0.0,1.0,0.0,34.0,1.0,4.0,3.0,0.0,1.0,79.0,0.0,0.0,16.0,117.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,22.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,5.0
20214,wilkste01,59.0,30.0,385.0,44.0,22.0,5.0,46.0,2739.0,832.0,331.0,76.0,283.0,403.0,2.94,47.66,0.0,8.0,11.0,1.0,3765.0,191.0,364.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,22.0,7.0,4.0,0.0,3.0,7.0,0.541,5.68,0.0,0.0,0.0,0.0,33.0,2.0,5.0,0.0,0.0,0.0,385.0,0.0,0.0,30.0,120.0,8.0,11.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,22.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,10.0
20215,willaje01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.0,202.0,5466.0,1085.0,102.0,15.0,19.0,16.0,0.0,155.0,62.0,0.0,,,,,,,,,,,,,8.0
20216,willbo01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.0,150.0,4267.0,335.0,11.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,6.0
20217,willeca01,38.0,58.0,199.0,117.0,28.0,11.0,1.0,2627.0,830.0,366.0,105.0,326.0,493.0,2.06,31.310000000000002,30.0,37.0,21.0,2.0,3731.0,30.0,408.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,199.0,117.0,2627.0,55.0,138.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.0
20218,willeed01,102.0,99.0,274.0,202.0,142.0,12.0,5.0,5320.0,1719.0,606.0,24.0,565.0,600.0,20.79,33.52,0.0,65.0,106.0,0.0,7200.0,53.0,841.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,23.0,3.0,0.0,0.0,0.0,1.0,0.12,0.0,0.0,0.0,2.0,0.0,27.0,1.0,1.0,0.0,0.0,0.0,276.0,93.0,2415.0,74.0,695.0,41.0,18.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,23.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,,10.0
20219,willhni01,6.0,12.0,58.0,29.0,3.0,1.0,1.0,546.0,195.0,92.0,27.0,75.0,118.0,1.87,35.04,5.0,10.0,2.0,7.0,795.0,12.0,104.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,29.0,546.0,5.0,35.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,5.0
20220,williac01,0.0,0.0,6.0,0.0,0.0,0.0,0.0,27.0,22.0,16.0,0.0,13.0,5.0,1.37,16.0,0.0,3.0,1.0,0.0,61.0,4.0,17.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2.0
20221,willial01,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1.0
20222,willial02,4.0,8.0,46.0,16.0,3.0,0.0,1.0,506.0,216.0,117.0,6.0,103.0,52.0,0.62,12.32,0.0,7.0,2.0,1.0,805.0,12.0,144.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,0.0,0.0,6.0,32.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2.0
